time, MSD, sterr
1.000000e+03,4.245285e-01,7.686234e-03
2.000000e+03,1.514335e+00,2.915269e-02
3.000000e+03,3.201341e+00,6.334141e-02
4.000000e+03,5.442613e+00,1.094740e-01
5.000000e+03,8.226814e+00,1.678937e-01
6.000000e+03,1.150842e+01,2.365585e-01
7.000000e+03,1.518822e+01,3.130815e-01
8.000000e+03,1.932293e+01,3.972866e-01
9.000000e+03,2.380903e+01,4.896764e-01
1.000000e+04,2.867785e+01,5.896890e-01
1.100000e+04,3.385435e+01,6.934027e-01
1.200000e+04,3.937382e+01,8.048188e-01
1.300000e+04,4.519650e+01,9.216814e-01
1.400000e+04,5.120499e+01,1.039775e+00
1.500000e+04,5.739923e+01,1.159732e+00
1.600000e+04,6.390797e+01,1.283908e+00
1.700000e+04,7.045127e+01,1.407584e+00
1.800000e+04,7.716965e+01,1.532599e+00
1.900000e+04,8.413878e+01,1.661739e+00
2.000000e+04,9.143273e+01,1.795364e+00
2.100000e+04,9.892299e+01,1.927825e+00
2.200000e+04,1.064744e+02,2.059656e+00
2.300000e+04,1.141516e+02,2.189872e+00
2.400000e+04,1.220569e+02,2.323499e+00
2.500000e+04,1.301735e+02,2.459659e+00
2.600000e+04,1.383457e+02,2.595931e+00
2.800000e+04,1.551168e+02,2.863380e+00
2.900000e+04,1.636889e+02,2.996578e+00
3.100000e+04,1.810628e+02,3.255151e+00
3.200000e+04,1.898885e+02,3.380523e+00
3.400000e+04,2.081638e+02,3.630385e+00
3.600000e+04,2.268243e+02,3.883781e+00
3.700000e+04,2.365519e+02,4.012148e+00
3.900000e+04,2.567002e+02,4.276678e+00
4.100000e+04,2.773770e+02,4.543693e+00
4.300000e+04,2.990718e+02,4.820798e+00
4.500000e+04,3.207249e+02,5.097668e+00
4.800000e+04,3.539107e+02,5.509023e+00
5.000000e+04,3.767003e+02,5.788786e+00
5.300000e+04,4.120750e+02,6.206241e+00
5.500000e+04,4.355427e+02,6.479101e+00
5.800000e+04,4.720585e+02,6.905400e+00
6.100000e+04,5.091751e+02,7.318814e+00
6.400000e+04,5.462407e+02,7.698396e+00
6.700000e+04,5.833736e+02,8.070858e+00
7.100000e+04,6.328066e+02,8.557363e+00
7.400000e+04,6.704032e+02,8.927099e+00
7.800000e+04,7.201400e+02,9.411629e+00
8.200000e+04,7.691661e+02,9.864883e+00
8.600000e+04,8.175593e+02,1.029818e+01
9.000000e+04,8.689777e+02,1.076058e+01
9.500000e+04,9.345942e+02,1.132444e+01
9.900000e+04,9.894884e+02,1.180160e+01
1.040000e+05,1.060205e+03,1.240844e+01
1.100000e+05,1.146860e+03,1.312389e+01
1.150000e+05,1.218494e+03,1.369388e+01
1.210000e+05,1.302166e+03,1.434682e+01
1.270000e+05,1.383936e+03,1.497152e+01
1.330000e+05,1.464085e+03,1.559952e+01
1.400000e+05,1.555438e+03,1.631332e+01
1.470000e+05,1.648683e+03,1.705463e+01
1.540000e+05,1.741242e+03,1.776153e+01
1.620000e+05,1.847725e+03,1.849607e+01
1.700000e+05,1.952879e+03,1.919215e+01
1.780000e+05,2.058484e+03,1.984567e+01
1.870000e+05,2.177951e+03,2.057118e+01
1.960000e+05,2.295306e+03,2.127603e+01
2.060000e+05,2.429291e+03,2.208495e+01
2.160000e+05,2.562781e+03,2.287809e+01
2.270000e+05,2.713162e+03,2.375977e+01
2.380000e+05,2.856884e+03,2.458891e+01
2.500000e+05,3.007197e+03,2.542166e+01
2.630000e+05,3.168051e+03,2.629985e+01
2.760000e+05,3.331552e+03,2.721180e+01
2.890000e+05,3.490258e+03,2.810693e+01
3.040000e+05,3.669198e+03,2.901790e+01
3.190000e+05,3.845810e+03,2.987029e+01
3.350000e+05,4.037481e+03,3.081528e+01
3.520000e+05,4.256058e+03,3.188595e+01
3.690000e+05,4.461265e+03,3.298134e+01
3.870000e+05,4.669896e+03,3.408201e+01
4.070000e+05,4.898686e+03,3.526316e+01
4.270000e+05,5.121712e+03,3.636497e+01
4.480000e+05,5.359896e+03,3.754940e+01
4.700000e+05,5.591816e+03,3.875502e+01
4.940000e+05,5.835921e+03,4.003152e+01
5.180000e+05,6.062519e+03,4.124132e+01
5.440000e+05,6.314760e+03,4.252408e+01
5.710000e+05,6.577676e+03,4.387344e+01
5.990000e+05,6.870601e+03,4.525502e+01
6.290000e+05,7.148650e+03,4.646526e+01
6.600000e+05,7.425551e+03,4.761137e+01
6.930000e+05,7.714480e+03,4.883683e+01
7.280000e+05,8.008629e+03,4.999097e+01
7.640000e+05,8.315652e+03,5.104133e+01
8.020000e+05,8.641969e+03,5.210142e+01
8.420000e+05,8.980752e+03,5.342916e+01
8.830000e+05,9.372506e+03,5.504464e+01
9.270000e+05,9.738073e+03,5.660226e+01
9.730000e+05,1.015454e+04,5.820549e+01
1.022000e+06,1.059134e+04,5.997505e+01
1.073000e+06,1.110935e+04,6.216775e+01
1.126000e+06,1.161129e+04,6.435289e+01
1.182000e+06,1.204535e+04,6.627001e+01
1.240000e+06,1.251203e+04,6.823103e+01
1.302000e+06,1.304871e+04,7.065001e+01
1.367000e+06,1.357874e+04,7.323529e+01
1.435000e+06,1.404003e+04,7.546122e+01
1.506000e+06,1.464760e+04,7.821054e+01
1.581000e+06,1.520182e+04,8.068342e+01
1.659000e+06,1.595530e+04,8.362074e+01
1.742000e+06,1.670836e+04,8.690166e+01
1.828000e+06,1.732969e+04,8.953741e+01
1.919000e+06,1.806182e+04,9.269825e+01
2.014000e+06,1.884809e+04,9.633231e+01
2.114000e+06,1.968040e+04,1.001901e+02
2.219000e+06,2.046679e+04,1.034306e+02
2.329000e+06,2.151413e+04,1.078247e+02
2.445000e+06,2.232494e+04,1.110673e+02
2.567000e+06,2.327515e+04,1.146132e+02
2.694000e+06,2.411481e+04,1.183518e+02
2.828000e+06,2.502049e+04,1.216520e+02
2.968000e+06,2.591639e+04,1.251611e+02
3.116000e+06,2.671748e+04,1.279228e+02
3.270000e+06,2.765373e+04,1.304920e+02
3.433000e+06,2.848460e+04,1.329346e+02
3.603000e+06,2.941369e+04,1.352746e+02
3.782000e+06,3.028979e+04,1.371369e+02
3.970000e+06,3.162165e+04,1.418150e+02
4.167000e+06,3.273726e+04,1.452589e+02
4.374000e+06,3.371664e+04,1.478212e+02
4.591000e+06,3.501664e+04,1.521104e+02
4.819000e+06,3.609013e+04,1.551250e+02
5.059000e+06,3.715714e+04,1.578514e+02
5.310000e+06,3.841707e+04,1.611766e+02
5.574000e+06,3.969484e+04,1.648663e+02
5.850000e+06,4.115992e+04,1.689174e+02
6.141000e+06,4.259068e+04,1.732265e+02
6.446000e+06,4.414266e+04,1.773925e+02
6.766000e+06,4.567305e+04,1.817887e+02
7.102000e+06,4.720926e+04,1.861606e+02
7.455000e+06,4.871728e+04,1.905193e+02
7.825000e+06,5.038881e+04,1.948070e+02
8.213000e+06,5.244206e+04,2.006133e+02
8.621000e+06,5.406259e+04,2.048998e+02
9.049000e+06,5.582732e+04,2.097181e+02
9.498000e+06,5.822439e+04,2.164952e+02
